Ticker,Empresa
AAPL,Apple
MSFT,Microsoft
GOOGL,Alphabet (Google)
AMZN,Amazon
NVDA,NVIDIA
META,Meta Platforms
TSLA,Tesla
BRK-B,Berkshire Hathaway
JNJ,Johnson & Johnson
V,Visa
PG,Procter & Gamble
JPM,JPMorgan Chase
UNH,UnitedHealth Group
MA,Mastercard
HD,Home Depot
DIS,Walt Disney
BAC,Bank of America
ABBV,AbbVie
PFE,Pfizer
KO,Coca-Cola
PEP,PepsiCo
COST,Costco
TMO,Thermo Fisher Scientific
AVGO,Broadcom
CSCO,Cisco Systems
ACN,Accenture
MRK,Merck
ORCL,Oracle
CVX,Chevron
XOM,Exxon Mobil
MCD,McDonald's
WMT,Walmart
NKE,Nike
CRM,Salesforce
ABT,Abbott Laboratories
DHR,Danaher
ADBE,Adobe
LLY,Eli Lilly
NVO,Novo Nordisk
BABA,Alibaba Group
NESN.SW,Nestlé
OR.PA,L'Oréal
DB1.DE,Deutsche Börse
MC.PA,LVMH
SHEL,Shell
AZN,AstraZeneca
NOVN.SW,Novartis
ASML,ASML Holding
SAP,SAP
TM,Toyota Motor
QCOM,Qualcomm
INTC,Intel
AMD,AMD
TXN,Texas Instruments
HON,Honeywell
LIN,Linde
UNP,Union Pacific
LOW,Lowe's
AMAT,Applied Materials
UPS,United Parcel Service
GE,General Electric
SPGI,S&P Global
CAT,Caterpillar
GS,Goldman Sachs
MS,Morgan Stanley
BLK,BlackRock
AXP,American Express
EL,Estée Lauder
SBUX,Starbucks
MDT,Medtronic
ISRG,Intuitive Surgical
SYK,Stryker
BKNG,Booking Holdings
ADP,Automatic Data Processing
MDLZ,Mondelez International
TJX,TJX Companies
GILD,Gilead Sciences
LRCX,Lam Research
ADI,Analog Devices
VRTX,Vertex Pharmaceuticals
REGN,Regeneron Pharmaceuticals
CI,Cigna
CB,Chubb
MMC,Marsh & McLennan
PGR,Progressive
BMY,Bristol Myers Squibb
COP,ConocoPhillips
EOG,EOG Resources
SLB,Schlumberger
MO,Altria Group
PM,Philip Morris International
DE,Deere & Company
PLD,Prologis
AMT,American Tower
EQIX,Equinbox
PSA,Public Storage
NOW,ServiceNow
SNPS,Synopsys
CDNS,Cadence Design Systems
PANW,Palo Alto Networks
CRWD,CrowdStrike
SE,Sea Limited
MELI,MercadoLibre
PDD,PDD Holdings (Pinduoduo)
TCEHY,Tencent
9988.HK,Alibaba (Hong Kong)
0700.HK,Tencent (Hong Kong)
KER.PA,Kering
RMS.PA,Hermès
BNP.PA,BNP Paribas
SAN.MC,Banco Santander
BBVA.MC,BBVA
ITX.MC,Inditex
IBE.MC,Iberdrola
REP.MC,Repsol
TEF.MC,Telefónica
FER.MC,Ferrovial
AMS.MC,Amadeus IT
CABK.MC,CaixaBank
ALV.DE,Allianz
BAS.DE,BASF
BAYN.DE,Bayer
BMW.DE,BMW
MBG.DE,Mercedes-Benz
SIE.DE,Siemens
VOW3.DE,Volkswagen
DTE.DE,Deutsche Telekom
DHL.DE,DHL Group
ROG.SW,Roche
LONN.SW,Lonza
UBSG.SW,UBS Group
SRENH.SW,Swiss Re
CFR.SW,Richemont
AIR.PA,Airbus
DG.PA,Vinci
TTE.PA,TotalEnergies
SAN.PA,Sanofi
SU.PA,Schneider Electric
BN.PA,Danone
CAP.PA,Capgemini
STMPA.PA,STMicroelectronics
ASML.AS,ASML Holding (Amsterdam)
PRX.AS,Prosus
UNA.AS,Unilever (Amsterdam)
INGA.AS,ING Group
AZN.L,AstraZeneca (London)
SHEL.L,Shell (London)
HSBA.L,HSBC
ULVR.L,Unilever (London)
BP.L,BP
GSK.L,GSK
RIO.L,Rio Tinto
REL.L,RELX
DGE.L,Diageo
BATS.L,British American Tobacco
LSEG.L,London Stock Exchange Group
VOD.L,Vodafone
BARC.L,Barclays
LLOY.L,Lloyds Banking Group
